Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
158,4872.259047710453,206923.40588553573,0.0,0.0,15880,48,6229.920578845413,0.0977953746914863,58.69742992486196
159,4868.081882232335,207481.26306203412,0.0,0.0,15980,47,6133.775650073015,0.097757875919342,60.970248731290376
160,4853.040935210476,208062.3334471178,0.0,0.0,16080,43,6061.568013381878,0.0977203771471977,69.9752749907791
161,4847.362055571342,208666.15211174096,0.0,0.0,16180,40,6184.281568439585,0.0976828783750534,77.70402798366995
162,4876.268884452293,209292.4777184206,0.0,0.0,16280,48,6146.147633672906,0.097645379602909,60.53473724609345
163,4870.807417132135,209940.865253172,0.0,0.0,16380,48,6418.478383485194,0.0976078733801841,60.02719435133198
164,4850.776802118227,210610.7921923635,0.0,0.0,16480,41,6698.39656983011,0.0975703746080398,75.25228996398552
165,4836.852487337135,211301.7853882355,0.0,0.0,16580,35,6004.529634222907,0.0975328758358955,91.81613504545614
166,4866.095029374701,212013.64151008127,0.0,0.0,16680,47,6433.06428502801,0.0974953770637512,63.2726183063493
167,4856.7334100219305,212745.93228172665,0.0,0.0,16780,43,6379.839158437552,0.0974578782916069,70.12674532637344
168,4839.53518738423,213498.193193278,0.0,0.0,16880,35,6200.472393089784,0.0974203795194625,86.39625381577144
169,4857.856356101693,214270.1796020821,0.0,0.0,16980,42,6019.123482425619,0.0973828732967376,72.11846624799364
170,4847.000416003051,215061.4819617541,0.0,0.0,17080,42,6101.006351003417,0.0973453745245933,75.92990748513382
171,4858.449540658854,215871.8299308524,0.0,0.0,17180,44,6049.180867947592,0.097307875752449,69.32081684270948
172,4876.947126504558,216701.0001611548,0.0,0.0,17280,50,6279.25321935862,0.0972703769803047,55.80832238693663
173,4859.35978241812,217548.5670542261,0.0,0.0,17380,43,6257.930498134726,0.0972328782081604,69.50651017511007
174,4849.616942676308,218414.15956533488,0.0,0.0,17480,37,6527.413811432697,0.097195379436016,79.61455261516952
175,4856.905657792115,219297.51185278213,0.0,0.0,17580,43,6689.32758573468,0.0971578732132911,67.91372008854727
176,4851.146915304824,220198.2903681413,0.0,0.0,17680,39,6226.457375137645,0.0971203744411468,76.5753904436409
177,4855.048030460661,221116.2233273192,0.0,0.0,17780,42,6476.21666061945,0.0970828756690025,71.07808592127583
178,4879.251717904932,222051.15844180185,0.0,0.0,17880,47,6324.937584798649,0.0970453768968582,56.6859429557752
179,4852.989959804632,223002.66644367808,0.0,0.0,17980,39,6149.634353864954,0.0970078781247139,74.79959653702622
180,4842.662879573007,223970.4155885146,0.0,0.0,18080,35,6637.006217950289,0.0969703793525695,87.53097025246493
181,4859.293968316342,224954.22954477227,0.0,0.0,18180,42,6126.718464193562,0.0969328731298446,68.22505252369626
182,4885.313127770904,225953.987136086,0.0,0.0,18280,52,6648.492489759272,0.0968953743577003,50.81831247324477
183,4843.793300368474,226969.20276064824,0.0,0.0,18380,36,6167.825106289531,0.096857875585556,87.04248853852833
184,4839.338363881339,227999.601666912,0.0,0.0,18480,36,6032.270960187249,0.0968203768134117,85.97243106933132
185,4877.552063630486,229045.14441323528,0.0,0.0,18580,50,6104.876571889276,0.0967828780412674,57.00442022784147
186,4865.15018379729,230105.5217300996,0.0,0.0,18680,48,6458.44065238591,0.096745379269123,60.68234557056167
187,4853.85728733032,231180.4368270362,0.0,0.0,18780,46,6397.766180329206,0.0967078730463981,70.86340161871213
188,4861.461740224506,232269.6991808319,0.0,0.0,18880,42,6444.476082557072,0.0966703742742538,68.83028333065643
189,4829.504168359155,233372.9140581053,0.0,0.0,18980,30,6225.885890428704,0.0966328755021095,102.33169218849314
190,4863.3137658427,234490.0393228724,0.0,0.0,19080,46,6306.42358727732,0.0965953767299652,64.54640229804816
191,4844.957821615215,235620.7620214524,0.0,0.0,19180,39,6680.920537032704,0.0965578779578208,82.67680166522936
192,4851.54249436839,236764.9049122458,0.0,0.0,19280,42,6366.647427047874,0.0965203791856765,73.78570945009345
193,4852.520412494254,237922.2655073224,0.0,0.0,19380,40,6400.470880763885,0.0964828729629516,74.30131697516626
194,4868.95232805796,239092.7247236189,0.0,0.0,19480,45,6365.762813931777,0.0964453741908073,64.46785866540029
195,4852.963417314109,240276.00049595995,0.0,0.0,19580,43,6130.224703895124,0.096407875418663,69.52991964590335
196,2866.7889636369077,241461.81554453936,0.0,0.0,19639,27,6184.814699361121,0.0963857546448707,69.65479942720764
197,4810.656152365416,240266.6076688213,0.0,0.0,19738,44,6525.316006554429,0.0963486284017562,69.37390507231466
198,4869.78808722832,239107.88322947844,0.0,0.0,19838,48,6463.014261013958,0.0963111296296119,59.65324877248421
199,4838.374904840861,237984.9379090533,0.0,0.0,19938,36,6378.67723801193,0.096273623406887,86.8888066414353
200,4851.174801297348,236897.3013719223,0.0,0.0,20038,41,6592.495754894888,0.0962361246347427,75.93739459257849
201,4853.603293150474,235844.46125245185,0.0,0.0,20138,39,6439.534362969772,0.0961986258625984,75.67746958846688
202,4842.183200382828,234825.84706125385,0.0,0.0,20238,38,6162.352497271096,0.0961611270904541,83.74950201930824
203,4876.733855316743,233841.1248418094,0.0,0.0,20338,50,6019.467778118092,0.0961236283183097,57.56767260000685
204,4821.659325150904,232889.52995779924,0.0,0.0,20438,33,6342.4035779749365,0.0960861295461654,103.74466864756212
205,4872.830916033585,231970.82837808068,0.0,0.0,20538,47,6506.702588574745,0.0960486233234405,59.95747396400359
206,4866.3043304669045,231084.51185869976,0.0,0.0,20638,46,6009.994530801016,0.0960111245512962,65.15976851287498
207,4855.427186431523,230230.0610134784,0.0,0.0,20738,46,6638.249394568134,0.0959736257791519,67.94621998580473
208,4837.402190487264,229406.9321963955,0.0,0.0,20838,35,6156.692828106204,0.0959361270070076,89.131023702136
209,4831.089544655886,228614.647889688,0.0,0.0,20938,35,6413.50895684661,0.0958986282348632,93.66299555681452
210,4848.742651344663,227852.8532098276,0.0,0.0,21038,42,6359.488825300686,0.0958611294627189,72.91433578599079
211,4838.743696537349,227121.0695349496,0.0,0.0,21138,36,6299.081136748823,0.095823623239994,89.42361728696415
212,4870.777630257115,226419.0245688979,0.0,0.0,21238,49,6178.172395512752,0.0957861244678497,58.760615883585885
213,4846.150095758101,225746.1863319484,0.0,0.0,21338,38,6343.939915592127,0.0957486256957054,80.55316245590764
214,4855.621019698927,225102.1913391552,0.0,0.0,21438,42,6135.860351384044,0.0957111269235611,74.0272094500944
215,4828.9828658047045,224486.5156651184,0.0,0.0,21538,34,6496.946746272786,0.0956736281514167,93.7651271733142
216,4862.765071679198,223898.9234768869,0.0,0.0,21638,44,6111.85640566878,0.0956361293792724,65.922197024184
217,4869.9665955788805,223339.0613389859,0.0,0.0,21738,48,6364.969347697796,0.0955986231565475,59.95036057411062
218,4854.513448344951,222806.47882539604,0.0,0.0,21838,41,6527.772887422969,0.0955611243844032,76.15230752911476
219,4839.109264378771,222300.7339222224,0.0,0.0,21938,38,6127.372435986478,0.0955236256122589,82.82906666867079
220,4865.648924816705,221821.58240697256,0.0,0.0,22038,46,6251.933394818765,0.0954861268401146,63.68818960043111
221,4867.368348852324,221368.6726546928,0.0,0.0,22138,48,6002.987851943371,0.0954486280679702,64.94950923357919
222,4840.846725019976,220941.53270613303,0.0,0.0,22238,39,6527.861559243238,0.0954111292958259,83.3192466681503
223,4840.223950582003,220539.81464975065,0.0,0.0,22338,37,6576.673787222138,0.095373623073101,85.81826451247144
224,4856.259426029399,220163.2507957628,0.0,0.0,22438,42,6049.048198599399,0.0953361243009567,71.86159566154848
225,4849.127033160883,219811.47567956764,0.0,0.0,22538,41,6655.7995821264485,0.0952986255288124,77.56937415190232
226,4848.957224594313,219484.1609486455,0.0,0.0,22638,40,6459.145200777356,0.095261126756668,75.4996868615217
227,4855.691645652783,219181.01429275627,0.0,0.0,22738,46,6326.360808335671,0.0952236279845237,67.7202084214574
228,4831.090662492963,218901.6116716892,0.0,0.0,22838,34,6619.366508665326,0.0951861292123794,92.25580379011552
229,4869.25059966484,218645.8092934125,0.0,0.0,22938,47,6410.082717090205,0.0951486229896545,64.63979436716893
230,4853.848404469667,218413.233985097,0.0,0.0,23038,41,6220.32353348328,0.0951111242175102,72.20091872298472
231,4866.129250544851,218203.6383313813,0.0,0.0,23138,46,6341.207038774864,0.0950736254453659,62.7908748616825
232,4836.4099496298,218016.5989062368,0.0,0.0,23238,32,6074.305748113571,0.0950361266732215,94.30971930578198
233,4858.109135007864,217851.9192588072,0.0,0.0,23338,40,6431.742484974179,0.0949986279010772,73.9652682003194
234,4866.920664303994,217709.35144099104,0.0,0.0,23438,45,6687.245725221632,0.0949611291289329,63.15242440089739
235,4829.638066837477,217588.45639310064,0.0,0.0,23538,32,6560.525438185332,0.094923622906208,99.8465885795631
236,4869.410711368371,217489.12759334163,0.0,0.0,23638,46,6508.095108608567,0.0948861241340637,62.06592474740888
237,4862.729004212364,217411.0651238504,0.0,0.0,23738,43,6404.068148348499,0.0948486253619194,65.58730871828888
238,4878.483275631559,217354.0679606965,0.0,0.0,23838,51,6280.530050252584,0.094811126589775,54.36225926138572
239,4865.702791101561,217317.81953553177,0.0,0.0,23938,44,6350.879720180499,0.0947736278176307,64.19080244448328
240,4852.52807522568,217302.0068984399,0.0,0.0,24038,38,6285.378074799591,0.0947361290454864,79.53936066538192
241,4868.981342077896,217306.4447019111,0.0,0.0,24138,46,6335.015052410987,0.0946986228227615,62.50086397666335
242,4854.86466947649,217330.82484720345,0.0,0.0,24238,39,6574.698805935249,0.0946611240506172,74.5628550051113
243,4867.026757858315,217374.9519862141,0.0,0.0,24338,45,6311.050408110355,0.0946236252784729,63.6310262948197
244,4853.8326666668,217438.5304655865,0.0,0.0,24438,40,6384.85837912467,0.0945861265063285,72.0655080973178
245,4835.786463913508,217521.2497153052,0.0,0.0,24538,34,6382.844017942328,0.0945486277341842,91.5223608798594
246,4877.022566987987,217623.0442041638,0.0,0.0,24638,49,6076.422716951384,0.0945111289620399,56.72670850303494
247,4844.031990302756,217743.5501567828,0.0,0.0,24738,40,6390.510251572039,0.0944736301898956,80.5796113288583
