Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
127,4822.246294088691,202593.98847604485,45.578121185302734,39.68011093139648,12780,50,5904.44443155374,0.0989578738808631,118.0888886310748
128,4815.954266445886,202143.69619964133,39.93560791015625,35.30921936035156,12880,42,5514.768339381524,0.0989203751087188,131.3040080805125
129,4836.296267126134,201737.5337756989,45.09278869628906,45.75204086303711,12980,47,4630.820693520596,0.0988828763365745,98.52809986214037
130,4814.054940358008,201374.3208157888,47.04268646240234,49.38658142089844,13080,43,5240.624291911488,0.0988453775644302,121.87498353282533
131,4830.135131410294,201053.2030153577,44.66851425170898,41.18281173706055,13180,46,5008.92088285074,0.0988078787922859,108.88958440979869
132,4819.855311098887,200773.1535676482,41.14796447753906,44.33255386352539,13280,42,4959.19436914078,0.0987703800201416,118.0760564081138
133,4846.730288833176,200533.4535914629,43.53440475463867,37.7699089050293,13380,56,5056.85362693193,0.0987328737974166,90.30095762378448
134,4798.2071274899645,200332.8470010544,42.70293426513672,49.795188903808594,13480,32,4916.404146622954,0.0986953750252723,153.6376295819673
135,4813.701276320324,200170.5853698896,39.02108383178711,47.51138687133789,13580,39,5080.120362361282,0.098657876253128,130.2594964708021
136,4809.059901807166,200045.79514868188,42.662139892578125,49.852195739746094,13680,39,4878.729528752621,0.0986203774809837,125.0956289423749
137,4810.808881486038,199957.67441532857,48.967227935791016,42.98173522949219,13780,36,4851.914935876528,0.0985828787088394,134.7754148854591
138,4797.453086199443,199905.33565717604,40.59903717041016,50.21667098999024,13880,35,5378.097277964756,0.0985453799366951,153.65992222756446
139,4806.405671709596,199888.0760646521,46.28182220458984,36.622291564941406,13980,37,5140.447235413245,0.0985078737139701,138.93100636252012
140,4813.199469174258,199905.19745549155,38.86698913574219,50.87847137451172,14080,41,5497.178175403358,0.0984703749418258,134.07751647325264
141,4828.686006478791,199956.08253101265,47.40339279174805,38.63834381103516,14180,48,5302.522041728604,0.0984328761696815,110.46920920267924
142,4824.41268951344,200039.9930788308,44.72725677490234,44.45982360839844,14280,42,4584.652012673148,0.0983953773975372,109.1583812541226
143,4829.752692991839,200156.27815163048,43.66656112670898,43.49724197387695,14380,46,5123.631350727286,0.0983578786253929,111.38329023320188
144,4839.075628172315,200304.3322277583,46.770164489746094,34.8509407043457,14480,50,4890.354499915091,0.0983203798532486,97.80708999830182
145,4825.153821058717,200483.40716463132,42.33628463745117,46.29147338867188,14580,43,4609.723510436801,0.0982828736305236,107.20287233573956
146,4810.844560964935,200692.7725415536,38.83295822143555,47.91458511352539,14680,39,4803.583511750214,0.0982453748583793,123.16880799359522
147,4801.865445721167,200931.7536934208,40.76347732543945,47.75694274902344,14780,39,5528.95559117198,0.098207876086235,141.7680920813328
148,4802.3850983059965,201199.7578170637,41.42631912231445,42.54510116577149,14880,39,5835.287077797635,0.0981703773140907,149.62274558455474
149,4802.371546159993,201496.20436269915,41.69667434692383,44.33100509643555,14980,33,4954.7445101891935,0.0981328785419464,150.14377303603618
150,4810.2461231164925,201820.58039861167,40.131378173828125,46.09941101074219,15080,41,5334.0227826830815,0.0980953797698021,130.09811665080687
